keys,log2_keys,key_size_bytes,value_size_bytes,current_rss_before_reads_mb,current_rss_after_reads_mb,peak_rss_mb,disk_size_bytes,sstable_files,read_ops,warm_read_latency_us
1024,10,16,64,2.45312,2.5625,2.5625,91152,1,100000,0.2725
4096,12,16,64,3.15625,3.15625,3.15625,364608,4,100000,0.342467
16384,14,16,64,5.03125,5.03125,5.03125,1458432,16,100000,1.12992
65536,16,16,64,11.875,11.875,11.875,5833728,64,100000,4.6413
250000,17.9316,16,64,37.3438,37.3438,37.3438,22253920,245,100000,16.6339
500000,18.9316,16,64,71.9219,71.9375,71.9375,44507824,489,100000,33.8839
1000000,19.9316,16,64,141.359,141.359,141.359,89015632,977,100000,83.0959
2000000,20.9316,16,64,279.703,279.703,279.703,178031264,1954,100000,257.724
4000000,21.9316,16,64,556.281,556.281,556.281,356062512,3907,100000,636.529
8000000,22.9316,16,64,1109.02,1109.09,1109.19,712125008,7813,100000,2192.79
10000000,23.2535,16,64,1386.7,1386.7,1386.7,890156256,9766,100000,3193.83
