keys,log2_keys,key_size_bytes,value_size_bytes,current_rss_before_reads_mb,current_rss_after_reads_mb,peak_rss_mb,disk_size_bytes,sstable_files,read_ops,warm_read_latency_us
1024,10,16,64,2.48438,2.59375,2.59375,91152,1,100000,0.268189
4096,12,16,64,3.15625,3.15625,3.15625,364608,4,100000,0.225119
16384,14,16,64,5.07812,5.07812,5.07812,1458432,16,100000,0.301328
65536,16,16,64,11.9375,11.9375,11.9375,5833728,64,100000,0.456632
250000,17.9316,16,64,37.5781,37.5781,37.5781,22253920,245,100000,0.83264
500000,18.9316,16,64,72.2188,72.2344,72.2344,44507824,489,100000,1.51728
1000000,19.9316,16,64,141.438,141.438,141.438,89015632,977,100000,2.84183
2000000,20.9316,16,64,279.781,279.781,279.781,178031264,1954,100000,6.88374
4000000,21.9316,16,64,556.344,556.344,556.344,356062512,3907,100000,22.6143
8000000,22.9316,16,64,1109.56,1109.56,1109.56,712125008,7813,100000,29.77
10000000,23.2535,16,64,1386.7,1386.41,1386.7,890156256,9766,100000,40.735
